,Kecamatan,DaerahTingkatDua,Provinsi,KodeWilayah
0,Andam Dewi,Kab. Tapanuli Tengah,Sumatera Utara,120112
1,Badiri,Kab. Tapanuli Tengah,Sumatera Utara,120115
2,Barus,Kab. Tapanuli Tengah,Sumatera Utara,120101
3,Barus Utara,Kab. Tapanuli Tengah,Sumatera Utara,120117
4,Kolang,Kab. Tapanuli Tengah,Sumatera Utara,120106
5,Lumut,Kab. Tapanuli Tengah,Sumatera Utara,120119
6,Manduamas,Kab. Tapanuli Tengah,Sumatera Utara,120105
7,Pandan,Kab. Tapanuli Tengah,Sumatera Utara,120103
8,Pasaribu Tobing,Kab. Tapanuli Tengah,Sumatera Utara,120116
9,Pinangsori,Kab. Tapanuli Tengah,Sumatera Utara,120104
10,Sarudik,Kab. Tapanuli Tengah,Sumatera Utara,120120
11,Sibabangun,Kab. Tapanuli Tengah,Sumatera Utara,120108
12,Sirandorung,Kab. Tapanuli Tengah,Sumatera Utara,120111
13,Sitahuis,Kab. Tapanuli Tengah,Sumatera Utara,120113
14,Sorkam,Kab. Tapanuli Tengah,Sumatera Utara,120102
15,Sorkam Barat,Kab. Tapanuli Tengah,Sumatera Utara,120110
16,Sosorgadong (Sosor Gadong),Kab. Tapanuli Tengah,Sumatera Utara,120109
17,Suka Bangun,Kab. Tapanuli Tengah,Sumatera Utara,120118
18,Tapian Nauli,Kab. Tapanuli Tengah,Sumatera Utara,120107
19,Tukka,Kab. Tapanuli Tengah,Sumatera Utara,120114
20,Adian Koting,Kab. Tapanuli Utara,Sumatera Utara,120203
21,Garoga,Kab. Tapanuli Utara,Sumatera Utara,120214
22,Muara,Kab. Tapanuli Utara,Sumatera Utara,120215
23,Pagaran,Kab. Tapanuli Utara,Sumatera Utara,120210
24,Pahae Jae,Kab. Tapanuli Utara,Sumatera Utara,120206
25,Pahae Julu,Kab. Tapanuli Utara,Sumatera Utara,120205
26,Pangaribuan,Kab. Tapanuli Utara,Sumatera Utara,120213
27,Parmonangan,Kab. Tapanuli Utara,Sumatera Utara,120211
28,Purba Tua (Purbatua),Kab. Tapanuli Utara,Sumatera Utara,120208
29,Siatas Barita,Kab. Tapanuli Utara,Sumatera Utara,120202
30,Siborong-Borong,Kab. Tapanuli Utara,Sumatera Utara,120209
31,Simangumban,Kab. Tapanuli Utara,Sumatera Utara,120207
32,Sipahutar,Kab. Tapanuli Utara,Sumatera Utara,120212
33,Sipoholon,Kab. Tapanuli Utara,Sumatera Utara,120204
34,Tarutung,Kab. Tapanuli Utara,Sumatera Utara,120201
35,Aek Bilah,Kab. Tapanuli Selatan,Sumatera Utara,120322
36,Angkola Barat,Kab. Tapanuli Selatan,Sumatera Utara,120301
37,Angkola Sangkunur,Kab. Tapanuli Selatan,Sumatera Utara,120331
38,Angkola Selatan,Kab. Tapanuli Selatan,Sumatera Utara,120306
39,Angkola Timur,Kab. Tapanuli Selatan,Sumatera Utara,120303
40,Arse,Kab. Tapanuli Selatan,Sumatera Utara,120314
41,Batang Angkola,Kab. Tapanuli Selatan,Sumatera Utara,120307
42,Batang Toru,Kab. Tapanuli Selatan,Sumatera Utara,120302
43,Marancar,Kab. Tapanuli Selatan,Sumatera Utara,120320
44,Muara Batang Toru,Kab. Tapanuli Selatan,Sumatera Utara,120329
45,Saipar Dolok Hole,Kab. Tapanuli Selatan,Sumatera Utara,120305
46,Sayur Matinggi,Kab. Tapanuli Selatan,Sumatera Utara,120321
47,Sipirok,Kab. Tapanuli Selatan,Sumatera Utara,120304
48,Tano Tombangan Angkola,Kab. Tapanuli Selatan,Sumatera Utara,120330
49,Bawolato,Kab. Nias,Sumatera Utara,120411
50,Botomuzoi,Kab. Nias,Sumatera Utara,120421
